"id","reservation_date","franchisee","pole_type","borough","x","y","latitude","longitude","zone","on_street","cross_street_1","cross_street_2","park_advisory","historic_advisory","scenic_landmark_advisory","bid_advisory","school_advisory","equipment_installed_yes_no","zipcode","community_board","council_district"
"16866","2017-12-11T00:00:00.000","Crown Castle Solutions","CITY","Brooklyn","1008273.0000000","183106.0000000","40.6692280","-73.9134020","C","Pitkin Ave","Thomas S Boyland St","Bristol St",,,,"Pitkin Avenue BID",,"N","11212","316","41"
"16860","2017-12-11T00:00:00.000","Crown Castle Solutions","CITY","Brooklyn","1006341.0000000","181821.0000000","40.6657060","-73.9203710","C","Sutter Ave","Tapscott St","Howard Ave",,,,,,"N","11212","316","41"
"16856","2017-12-11T00:00:00.000","Crown Castle Solutions","CITY","Brooklyn","1009119.0000000","181200.0000000","40.6639940","-73.9103590","C","Dumont Ave","Chester St","Bristol St",,,,,,"N","11212","316","41"
"15936","2017-12-21T00:00:00.000","Crown Castle NG","CITY","Brooklyn","1006141.0000000","181201.0000000","40.6640040","-73.9210940","C","Blake Ave","Union St","Sutter Ave",,,,,,"N","11212","316","41"
"15719","2017-11-13T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1008857.0000000","182315.0000000","40.6670550","-73.9113000","C","Sutter Ave","Chester St","Bristol St",,,,,,"N","11212","316","41"
"14376","2016-11-05T00:00:00.000","Mobilitie II","CITY","Brooklyn","1009843.0000000","182939.0000000","40.6687650","-73.9077430","C","Belmont Ave","Watkins St","Osborn St",,,,,,"Y","11212","316","41"
"14039","2016-11-05T00:00:00.000","Mobilitie II","CITY","Brooklyn","1010517.0000000","182642.0000000","40.6679480","-73.9053150","C","Sutter Ave","Christopher Ave","Sackman St",,,,,,"Y","11212","316","41"
"14027","2016-11-05T00:00:00.000","Mobilitie II","CITY","Brooklyn","1009250.0000000","183292.0000000","40.6697360","-73.9098800","C","Pitkin Ave","Thatford Ave","Rockaway Ave",,,,"Pitkin Avenue BID",,"Y","11212","316","41"
"13930","2016-11-05T00:00:00.000","Mobilitie II","CITY","Brooklyn","1009446.0000000","181206.0000000","40.6640090","-73.9091810","C","Rockaway Ave","Dumont Ave","Livonia Ave",,,,,,"Y","11212","316","41"
"13918","2016-11-05T00:00:00.000","Mobilitie II","CITY","Brooklyn","1005672.0000000","181691.0000000","40.6653510","-73.9227830","C","Sutter Ave","E 98th St","Ralph Ave",,,,,,"Y","11212","316","41"
"16956","2018-01-20T00:00:00.000","Mobilitie II","CITY","Brooklyn","1007288.0000000","184271.0000000","40.6724280","-73.9169490","C","Saratoga Avenue","Prospect Place","Park Place",,,,,,"Y","11233","316","41"
"16917","2018-01-20T00:00:00.000","Mobilitie II","CITY","Brooklyn","1008070.0000000","187577.0000000","40.6815000","-73.9141180","C","Thomas S Boyland Street","Marion Street","Chauncey Street","Marion Hopkinson Playground",,,,,"Y","11233","316","41"
"16640","2017-12-01T00:00:00.000","ExteNet I","CITY","Brooklyn","1007644.0000000","189095.0000000","40.6856680","-73.9156490","C","Halsey St","Broadway","Saratoga Ave",,,,,,"N","11233","316","41"
"15646","2017-12-01T00:00:00.000","ExteNet I","CITY","Brooklyn","1008913.0000000","185650.0000000","40.6762090","-73.9110860","C","Atlantic Ave","Rockaway Ave","Pacific St",,,,,,"Y","11233","316","41"
"15645","2017-12-01T00:00:00.000","ExteNet I","CITY","Brooklyn","1006543.0000000","183994.0000000","40.6716700","-73.9196350","C","Howard Ave","Park Pl","Sterling Pl",,,,,,"Y","11233","316","41"
"15621","2017-12-01T00:00:00.000","ExteNet I","CITY","Brooklyn","1008114.0000000","184143.0000000","40.6720750","-73.9139720","C","Eastern Pkwy","Thomas S Boyland St","Prospect Pl",,,,,,"Y","11233","316","41"
"13971","2016-11-05T00:00:00.000","Mobilitie II","CITY","Brooklyn","1007063.0000000","189276.0000000","40.6861660","-73.9177430","C","Saratoga Ave","Hancock St","Halsey St",,,,,,"Y","11233","316","41"
"17506","2017-12-22T00:00:00.000","Crown Castle Fiber","CITY","Brooklyn","1003803.0000000","181917.0000000","40.6659750","-73.9295190","B","Carroll St","Ford St","Utica Ave",,,,,,"N","11213","309","41"
"17136","2017-12-12T00:00:00.000","Crown Castle NG","CITY","Brooklyn","1004057.0000000","182205.0000000","40.6667650","-73.9286030","B","Rochester Ave","President St","Carroll St",,,,,,"N","11213","309","41"
"15671","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","1003888.0000000","181580.0000000","40.6650500","-73.9292140","B","Crown Street","Ford Street","Rochester Avenue",,,,,,"Y","11213","309","41"
"18143","2017-12-29T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1003310.0000000","179092.0000000","40.6582220","-73.9313040","B","Winthrop St","Utica Ave","E 49th St",,,,,,"N","11203","309","41"
"15903","2017-11-16T00:00:00.000","Extenet II","UTILITY","Brooklyn","1000910.0000000","180142.0000000","40.6611090","-73.9399520","B","Albany Ave","Maple St","Midwood St",,,,,,"Y","11203","309","41"
"15699","2017-11-13T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1003177.0000000","180498.0000000","40.6620820","-73.9317800","B","Maple St","Utica Ave","E 48th St",,,,,,"N","11203","309","41"
"15691","2017-11-13T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1002460.0000000","179907.0000000","40.6604610","-73.9343650","B","Rutland Rd","Schenectady Ave","E 46th St",,,,,,"N","11203","309","41"
"13962","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","1003233.0000000","180200.0000000","40.6612640","-73.9315790","B","Midwood St","Utica Ave","E 48th St",,,,,,"Y","11203","309","41"
"18057","2017-12-29T00:00:00.000","Extenet II","CITY","Brooklyn","1004856.0000000","182876.0000000","40.6686050","-73.9257200","B","Eastern Pkwy","Buffalo Ave","Rochester Ave","Eastern Parkway",,"Eastern Parkway",,,"N","11213","308","41"
"18503","2018-01-18T00:00:00.000","ExteNet I","CITY","Brooklyn","1005010.0000000","184110.0000000","40.6719920","-73.9251620","B","Buffalo Ave","Park Pl","Sterling Pl",,,,,,"Y","11233","308","41"
"18501","2018-01-18T00:00:00.000","ExteNet I","CITY","Brooklyn","1004940.0000000","183152.0000000","40.6693620","-73.9254170","B","Buffalo Ave","Lincoln Pl","Eastern Pkwy",,,,,,"Y","11233","308","41"
"17586","2017-12-29T00:00:00.000","Extenet II","CITY","Brooklyn","1005722.0000000","183400.0000000","40.6700410","-73.9225970","B","St Johns Pl","Ralph Ave","Buffalo Ave",,,,,,"N","11233","308","41"
"14018","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","1005825.0000000","184702.0000000","40.6736150","-73.9222220","B","Ralph Ave","St. Marks","Prospect Pl",,,,,,"Y","11233","308","41"
"13968","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","1005886.0000000","185591.0000000","40.6760550","-73.9219990","B","Ralph Ave","Pacific St","Dean St",,,,,,"Y","11233","308","41"
"13967","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","1005778.0000000","184045.0000000","40.6718110","-73.9223930","B","Ralph Ave","Park Pl","Sterling Pl",,,,,,"Y","11233","308","41"
"17912","2017-12-31T00:00:00.000","Crown Castle Fiber","CITY","Brooklyn","1005429.0000000","189908.0000000","40.6879050","-73.9236330","B","Ralph Ave","Madison St","Monroe St",,,,,,"N","11221","303","41"
"16933","2018-01-20T00:00:00.000","Mobilitie II","CITY","Brooklyn","1004358.0000000","190840.0000000","40.6904660","-73.9274920","B","Patchen Avenue","Lexington Avenue","Greene Avenue",,,,,,"Y","11221","303","41"
"14695","2017-04-27T00:00:00.000","Mobilitie I","CITY","Brooklyn","1005519.0000000","189317.0000000","40.6862830","-73.9233100","B","Ralph Avenue","Jefferson Avenue","Hancock St",,,,,,"Y","11221","303","41"
"14694","2017-04-27T00:00:00.000","Mobilitie I","CITY","Brooklyn","1005317.0000000","190649.0000000","40.6899390","-73.9240340","B","Ralph Avenue","Quincy Avenue","Gates Ave",,,,,,"Y","11221","303","41"
"14055","2016-11-05T00:00:00.000","Mobilitie II","CITY","Brooklyn","1005400.0000000","190122.0000000","40.6884920","-73.9237370","B","Ralph Ave","Monroe St","Madison St",,,,,,"Y","11221","303","41"
"20742","2019-01-17T00:00:00.000","ZenFi","UTILITY","Brooklyn","1005179.0000000","186525.0000000","40.6786200","-73.9245450","B","Buffalo Av","Fulton St","Herkimer St",,,,,,"N","11233","303","41"
"17868","2017-12-31T00:00:00.000","Crown Castle Fiber","CITY","Brooklyn","1004772.0000000","188109.0000000","40.6829690","-73.9260070","B","Patchen Ave","MacDonough St","Decatur St",,,,,,"N","11233","303","41"
"17836","2017-12-31T00:00:00.000","Crown Castle Fiber","CITY","Brooklyn","1005945.0000000","186594.0000000","40.6788080","-73.9217830","B","Fulton St","Ralph Ave","Buffalo Ave",,,,,,"N","11233","303","41"
